Loading GUI...
Loading GUI...
2015-08-19 10:53:25,646 INFO Loading GUI...
2015-08-19 10:56:26,662 INFO Loading GUI...
2015-08-19 10:57:20,506 INFO Loading GUI...
2015-08-19 11:06:06,697 INFO Loading GUI...
2015-08-19 11:08:35,377 INFO Loading GUI...
2015-08-19 11:10:25,945 INFO Loading GUI...
2015-08-19 11:10:45,780 INFO Loading GUI...
2015-08-19 11:11:00,456 INFO Loading GUI...
2015-08-19 11:12:52,804 INFO Loading GUI...
2015-08-19 11:12:56,523 ERROR Error
2015-08-19 11:13:27,103 ERROR Error
2015-08-19 11:15:54,875 INFO Loading GUI...
2015-08-19 11:16:41,507 INFO Loading GUI...
2015-08-19 11:17:37,576 INFO Loading GUI...
2015-08-19 11:17:41,343 ERROR Errorname 'auxTools' is not defined
2015-08-19 11:18:46,782 INFO Loading GUI...
2015-08-19 11:19:34,711 INFO Loading GUI...
2015-08-19 11:20:47,914 INFO Loading GUI...
2015-08-19 11:20:51,702 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 11:21:24,773 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 11:21:29,590 INFO Loading GUI...
2015-08-19 11:21:33,526 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 11:21:55,996 INFO Loading GUI...
2015-08-19 11:22:00,063 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 11:22:00,066 DEBUG Si, es un WriteUp
2015-08-19 11:29:11,711 INFO Loading GUI...
2015-08-19 11:34:26,660 INFO Loading GUI...
2015-08-19 11:34:47,768 INFO Parsing file /home/antonio/projects/CERN/ShortWriteUps/b002.tex from TeX
2015-08-19 11:34:47,800 DEBUG Si, es un WriteUp
2015-08-19 13:19:46,506 INFO Loading GUI...
2015-08-19 13:21:48,446 INFO Loading GUI...
2015-08-19 13:22:04,362 INFO Loading GUI...
2015-08-19 13:25:32,615 INFO Loading GUI...
2015-08-19 13:25:49,282 INFO Loading GUI...
2015-08-19 13:26:19,720 INFO Loading GUI...
2015-08-19 13:27:02,535 INFO Loading GUI...
2015-08-19 13:27:44,108 INFO Loading GUI...
2015-08-19 13:29:23,672 INFO Loading GUI...
2015-08-19 13:29:50,127 INFO Loading GUI...
2015-08-19 13:37:21,306 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:37:21,342 DEBUG Si, es un WriteUp
2015-08-19 13:42:25,418 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:42:25,422 DEBUG Si, es un WriteUp
2015-08-19 13:43:08,378 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:43:08,382 DEBUG Si, es un WriteUp
2015-08-19 13:45:46,218 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:45:46,223 DEBUG Si, es un WriteUp
2015-08-19 13:46:20,770 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:46:20,775 DEBUG Si, es un WriteUp
2015-08-19 13:46:58,866 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:46:58,870 DEBUG Si, es un WriteUp
2015-08-19 13:47:46,730 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:47:46,734 DEBUG Si, es un WriteUp
2015-08-19 13:48:14,498 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:48:14,502 DEBUG Si, es un WriteUp
2015-08-19 13:49:29,906 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:49:29,909 DEBUG Si, es un WriteUp
2015-08-19 13:51:44,442 INFO Parsing file /home/antonio/projects/CERN/DataPreservation/aux.tex from TeX
2015-08-19 13:51:44,445 DEBUG Si, es un WriteUp
2015-08-19 13:53:38,291 INFO Parsing file aux.tex from TeX
2015-08-19 13:53:38,294 DEBUG Si, es un WriteUp
2015-08-19 13:54:23,251 INFO Parsing file aux.tex from TeX
2015-08-19 13:54:23,254 DEBUG Si, es un WriteUp
2015-08-19 13:54:23,255 INFO Parsing done...
2015-08-19 13:57:09,899 INFO Parsing file aux.tex from TeX
2015-08-19 13:57:09,903 DEBUG Si, es un WriteUp
2015-08-19 13:57:09,903 INFO Parsing done...
2015-08-19 13:57:33,225 INFO Parsing file accents.py from TeX
2015-08-19 13:58:12,587 INFO Parsing file accents.py from TeX
2015-08-19 13:58:12,589 INFO Error in parsing the document. Please, select a file with the correct latex structure
2015-08-19 14:00:08,931 INFO Parsing file aux.tex from TeX
2015-08-19 14:00:08,934 DEBUG Si, es un WriteUp
2015-08-19 14:00:08,934 INFO Parsing done...
2015-08-19 14:02:08,050 DEBUG Selected tab: 1
2015-08-19 14:02:10,770 DEBUG Selected tab: 0
2015-08-19 14:02:13,562 DEBUG Selected tab: 1
2015-08-19 14:02:15,170 DEBUG Selected tab: 0
2015-08-19 14:03:33,306 DEBUG Selected tab: 1
2015-08-19 14:03:33,954 DEBUG Selected tab: 0
2015-08-19 14:03:34,378 DEBUG Selected tab: 1
2015-08-19 14:03:34,834 DEBUG Selected tab: 0
2015-08-19 14:03:39,715 INFO Parsing file aux.tex from TeX
2015-08-19 14:03:39,718 DEBUG Si, es un WriteUp
2015-08-19 14:03:39,718 INFO Parsing done...
2015-08-19 14:04:25,682 INFO Parsing file aux.tex from TeX
2015-08-19 14:04:25,683 DEBUG Si, es un WriteUp
2015-08-19 14:04:25,683 INFO Parsing done...
2015-08-19 14:04:29,354 INFO Parsing file accents.py from TeX
2015-08-19 14:04:29,355 INFO Error in parsing the document. Please, select a file with the correct latex structure
2015-08-19 14:05:11,106 INFO Parsing file accents.py from TeX
2015-08-19 14:05:11,106 INFO Error in parsing the document. Please, select a file with the correct latex structure
2015-08-19 14:05:11,586 INFO Parsing file accents.py from TeX
2015-08-19 14:05:11,587 INFO Error in parsing the document. Please, select a file with the correct latex structure
2015-08-19 14:05:11,914 INFO Parsing file accents.py from TeX
2015-08-19 14:05:11,915 INFO Error in parsing the document. Please, select a file with the correct latex structure
2015-08-19 14:05:12,210 INFO Parsing file accents.py from TeX
2015-08-19 14:05:12,210 INFO Error in parsing the document. Please, select a file with the correct latex structure
2015-08-19 14:05:12,530 INFO Parsing file accents.py from TeX
2015-08-19 14:05:12,530 INFO Error in parsing the document. Please, select a file with the correct latex structure
2015-08-19 14:05:13,090 INFO Parsing file accents.py from TeX
2015-08-19 14:05:13,090 INFO Error in parsing the document. Please, select a file with the correct latex structure
2015-08-19 14:05:13,578 INFO Parsing file accents.py from TeX
2015-08-19 14:05:13,579 INFO Error in parsing the document. Please, select a file with the correct latex structure
